,manifolds,count<51,time
53,t12071,"[10, 8, 12, 12, 20, 12, 28, 20, 28, 20, 44, 20, 52, 28, 36, 36, 68, 28, 76, 36, 52, 44, 92, 36, 84, 52, 76, 52, 116, 36, 124, 68, 84, 68, 100, 52, 148, 76, 100, 68, 164, 52, 172, 84, 100, 92, 188, 68, 172]",2246.35768703511
54,K15n86383,"[4, 2, 6, 4, 8, 5, 12, 8, 14, 8, 20, 10, 24, 12, 20, 16, 32, 14, 36, 16, 30, 20, 44, 20, 40, 24, 42, 24, 56, 20, 60, 32, 50, 32, 48, 28, 72, 36, 60, 32, 80, 30, 84, 40, 56, 44, 92, 40, 84]",2961.153605400119
55,K15n51747,"[2, 8, 4, 11, 14, 24, 32, 47, 48, 83, 100, 95, 154, 190, 160, 245, 312, 303, 420, 395, 422, 603, 704, 581, 803, 937, 906, 1006, 1320, 1092, 1588, 1517, 1554, 1927, 1959, 1772, 2580, 2602, 2548, 2608, 3427, 2871, 3940, 3568, 3613, 4356, 5113, 4070, 5434]",5743.081401621923
56,K14n22590,"[2, 4, 4, 7, 14, 14, 32, 33, 48, 55, 100, 68, 154, 135, 159, 191, 310, 221, 415, 311, 416, 465, 692, 474, 793, 742, 888, 835, 1295, 867, 1553, 1287, 1528, 1589, 1904, 1528, 2541, 2165, 2467, 2263, 3375, 2408, 3849, 3130, 3521, 3731, 4936, 3590, 5329]",5680.783053618856
57,K15n130096,"[1, 10, 0, 16, 0, 50, 0, 85, 0, 198, 0, 220, 0, 501, 0, 557, 0, 910, 0, 1018, 0, 1778, 0, 1631, 0, 2867, 0, 2760, 0, 3758, 0, 4171, 0, 6193, 0, 5439, 0, 8503, 0, 7760, 0, 10221, 0, 10531, 0, 14787, 0, 12743, 0]",5323.185357862152
58,K15n43429,"[0, 6, 0, 10, 0, 28, 0, 47, 0, 104, 0, 117, 0, 251, 0, 281, 0, 446, 0, 501, 0, 854, 0, 788, 0, 1352, 0, 1319, 0, 1780, 0, 1954, 0, 2867, 0, 2550, 0, 3936, 0, 3604, 0, 4728, 0, 4877, 0, 6746, 0, 5853, 0]",2961.1353124827147
59,K15n71564,"[0, 10, 0, 16, 0, 50, 0, 85, 0, 198, 0, 220, 0, 499, 0, 558, 0, 913, 0, 1020, 0, 1780, 0, 1630, 0, 2873, 0, 2759, 0, 3760, 0, 4168, 0, 6182, 0, 5412, 0, 8474, 0, 7714, 0, 10173, 0, 10464, 0, 14686, 0, 12633, 0]",8664.0489816349
60,K15n115460,"[2, 10, 8, 19, 19, 44, 41, 70, 76, 132, 114, 180, 187, 277, 275, 370, 363, 523, 513, 620, 673, 886, 822, 1027, 1070, 1322, 1341, 1576, 1585, 1919, 1942, 2167, 2326, 2737, 2648, 3030, 3242, 3626, 3731, 4091, 4194, 4758, 4884, 5211, 5543, 6255, 6209, 6667, 7130]",16610.03331607906
61,K15n61041,"[0, 16, 0, 26, 0, 76, 0, 128, 0, 260, 0, 319, 0, 613, 0, 682, 0, 1099, 0, 1252, 0, 1924, 0, 1951, 0, 3075, 0, 3031, 0, 4180, 0, 4515, 0, 6220, 0, 5871, 0, 8484, 0, 8055, 0, 10643, 0, 10726, 0, 14085, 0, 13007, 0]",19871.14031898044
62,K15n139871,"[2, 14, 0, 17, 0, 47, 0, 76, 0, 154, 0, 181, 0, 350, 0, 390, 0, 614, 0, 694, 0, 1072, 0, 1057, 0, 1686, 0, 1661, 0, 2265, 0, 2445, 0, 3395, 0, 3152, 0, 4595, 0, 4337, 0, 5695, 0, 5776, 0, 7658, 0, 6951, 0]",17772.919345016126
63,K15n43013,"[0, 8, 0, 13, 0, 39, 0, 69, 0, 150, 0, 185, 0, 368, 0, 439, 0, 688, 0, 806, 0, 1283, 0, 1303, 0, 2055, 0, 2117, 0, 2835, 0, 3132, 0, 4383, 0, 4161, 0, 6017, 0, 5813, 0, 7474, 0, 7753, 0, 10331, 0, 9492, 0]",4574.2152926838025
64,K15n49483,"[0, 18, 0, 28, 0, 80, 0, 132, 0, 267, 0, 324, 0, 624, 0, 697, 0, 1110, 0, 1263, 0, 1946, 0, 1952, 0, 3099, 0, 3046, 0, 4200, 0, 4537, 0, 6280, 0, 5879, 0, 8564, 0, 8069, 0, 10703, 0, 10795, 0, 14236, 0, 13092, 0]",23524.744604167063
65,K15n128838,"[0, 16, 0, 28, 0, 81, 0, 136, 0, 276, 0, 337, 0, 646, 0, 726, 0, 1155, 0, 1316, 0, 2017, 0, 2030, 0, 3216, 0, 3176, 0, 4364, 0, 4718, 0, 6514, 0, 6125, 0, 8860, 0, 8414, 0, 11096, 0, 11267, 0, 14778, 0, 13644, 0]",25290.716563637834
66,K15n61097,"[0, 18, 0, 33, 0, 98, 0, 170, 0, 348, 0, 440, 0, 838, 0, 965, 0, 1537, 0, 1781, 0, 2713, 0, 2788, 0, 4360, 0, 4389, 0, 6024, 0, 6545, 0, 8996, 0, 8551, 0, 12311, 0, 11793, 0, 15528, 0, 15839, 0, 20692, 0, 19300, 0]",24321.035536637064
67,K11n42,"[6, 7, 18, 29, 64, 73, 156, 177, 290, 321, 550, 521, 896, 865, 1236, 1296, 1948, 1725, 2708, 2489, 3382, 3307, 4759, 4080, 6004, 5464, 7233, 6811, 9478, 7849, 11572, 10258, 13109, 12226, 16296, 13796, 19601, 17082, 21602, 19748, 26638, 21818, 30763, 26558, 32944, 30297, 40081, 32697, 45217]",25985.134308800567
68,K15n20060,"[6, 9, 7, 13, 18, 22, 33, 40, 39, 59, 75, 60, 102, 112, 76, 133, 168, 147, 207, 174, 150, 261, 297, 211, 290, 363, 279, 337, 462, 335, 525, 486, 370, 603, 468, 457, 738, 748, 516, 636, 900, 666, 987, 839, 588, 1080, 1173, 794, 1113]",36055.965256558266
69,K11n34,"[6, 9, 24, 37, 86, 87, 208, 220, 366, 386, 720, 602, 1163, 1038, 1490, 1563, 2498, 1991, 3463, 2910, 4103, 3960, 6042, 4681, 7469, 6545, 8831, 7995, 11958, 8960, 14632, 12173, 15942, 14583, 19963, 15894, 24576, 20373, 26317, 23003, 33409, 25105, 38521, 31289, 39660, 36105, 50110, 37907, 56034]",34961.16666184738
70,K15n100284,"[10, 4, 8, 8, 16, 8, 24, 16, 24, 16, 40, 16, 48, 24, 32, 32, 64, 24, 72, 32, 48, 40, 88, 32, 80, 48, 72, 48, 112, 32, 120, 64, 80, 64, 96, 48, 144, 72, 96, 64, 160, 48, 168, 80, 96, 88, 184, 64, 168]",44672.662189812865
71,K12n605,"[6, 4, 8, 8, 16, 8, 24, 16, 24, 16, 40, 16, 48, 24, 32, 32, 64, 24, 72, 32, 48, 40, 88, 32, 80, 48, 72, 48, 112, 32, 120, 64, 80, 64, 96, 48, 144, 72, 96, 64, 160, 48, 168, 80, 96, 88, 184, 64, 168]",47824.066325343214
72,K15n67261,"[6, 8, 8, 12, 16, 18, 24, 30, 24, 44, 40, 42, 48, 78, 32, 83, 64, 100, 72, 105, 48, 166, 88, 127, 80, 222, 72, 191, 112, 223, 120, 254, 80, 354, 96, 255, 144, 432, 96, 340, 160, 417, 168, 427, 96, 605, 184, 425, 168]",58757.72585230321
73,K10a103,"[6, 12, 8, 8, 16, 8, 24, 16, 24, 16, 40, 16, 48, 24, 32, 32, 64, 24, 72, 32, 48, 40, 88, 32, 80, 48, 72, 48, 112, 32, 120, 64, 80, 64, 96, 48, 144, 72, 96, 64, 160, 48, 168, 80, 96, 88, 184, 64, 168]",62516.16070951987
74,K10a96,"[6, 8, 8, 8, 16, 8, 24, 16, 24, 16, 40, 16, 48, 24, 32, 32, 64, 24, 72, 32, 48, 40, 88, 32, 80, 48, 72, 48, 112, 32, 120, 64, 80, 64, 96, 48, 144, 72, 96, 64, 160, 48, 168, 80, 96, 88, 184, 64, 168]",67708.51753162732
75,K15n128377,"[0, 14, 0, 26, 0, 76, 0, 128, 0, 260, 0, 318, 0, 611, 0, 681, 0, 1094, 0, 1238, 0, 1909, 0, 1928, 0, 3050, 0, 3002, 0, 4140, 0, 4468, 0, 6186, 0, 5805, 0, 8415, 0, 7957, 0, 10566, 0, 10613, 0, 13990, 0, 12888, 0]",18527.066339449026
76,K12n642,"[12, 8, 16, 16, 32, 16, 48, 32, 48, 32, 80, 32, 96, 48, 64, 64, 128, 48, 144, 64, 96, 80, 176, 64, 160, 96, 144, 96, 224, 64, 240, 128, 160, 128, 192, 96, 288, 144, 192, 128, 320, 96, 336, 160, 192, 176, 368, 128, 336]",90835.15584101528
